Size,Density,Iteration,Time_ns
20,0.1,1,536703
20,0.1,2,238445
20,0.1,3,202353
20,0.1,4,182578
20,0.1,5,158746
20,0.1,6,144033
20,0.1,7,207634
20,0.1,8,189499
20,0.1,9,155162
20,0.1,10,48656
20,0.1,11,46503
20,0.1,12,73529
20,0.1,13,43230
20,0.1,14,36787
20,0.1,15,39347
20,0.1,16,29325
20,0.1,17,33272
20,0.1,18,31539
20,0.1,19,33144
20,0.1,20,29483
20,0.2,1,49472
20,0.2,2,49125
20,0.2,3,49109
20,0.2,4,57494
20,0.2,5,61250
20,0.2,6,61352
20,0.2,7,71939
20,0.2,8,87522
20,0.2,9,94220
20,0.2,10,77502
20,0.2,11,68686
20,0.2,12,60021
20,0.2,13,61789
20,0.2,14,64547
20,0.2,15,71735
20,0.2,16,67650
20,0.2,17,51386
20,0.2,18,45453
20,0.2,19,47106
20,0.2,20,46733
20,0.4,1,54506
20,0.4,2,55425
20,0.4,3,56019
20,0.4,4,115201
20,0.4,5,146079
20,0.4,6,120695
20,0.4,7,118285
20,0.4,8,138238
20,0.4,9,142936
20,0.4,10,113353
20,0.4,11,123057
20,0.4,12,150414
20,0.4,13,120297
20,0.4,14,117877
20,0.4,15,122035
20,0.4,16,120878
20,0.4,17,121634
20,0.4,18,118073
20,0.4,19,119267
20,0.4,20,116296
20,0.6,1,100733
20,0.6,2,101154
20,0.6,3,103918
20,0.6,4,99181
20,0.6,5,95052
20,0.6,6,96413
20,0.6,7,101092
20,0.6,8,96565
20,0.6,9,99184
20,0.6,10,98229
20,0.6,11,94557
20,0.6,12,94997
20,0.6,13,96990
20,0.6,14,98217
20,0.6,15,96872
20,0.6,16,105089
20,0.6,17,99876
20,0.6,18,101706
20,0.6,19,99769
20,0.6,20,99857
20,0.8,1,95078
20,0.8,2,95926
20,0.8,3,94609
20,0.8,4,113367
20,0.8,5,126997
20,0.8,6,108366
20,0.8,7,105339
20,0.8,8,96097
20,0.8,9,100620
20,0.8,10,98988
20,0.8,11,92615
20,0.8,12,93067
20,0.8,13,92102
20,0.8,14,93557
20,0.8,15,89871
20,0.8,16,123423
20,0.8,17,122243
20,0.8,18,115839
20,0.8,19,118470
20,0.8,20,126176
20,1.0,1,23914
20,1.0,2,20083
20,1.0,3,18672
20,1.0,4,19863
20,1.0,5,20782
20,1.0,6,17929
20,1.0,7,18975
20,1.0,8,18373
20,1.0,9,21163
20,1.0,10,22162
20,1.0,11,21146
20,1.0,12,22056
20,1.0,13,18711
20,1.0,14,19525
20,1.0,15,19969
20,1.0,16,21234
20,1.0,17,18279
20,1.0,18,19353
20,1.0,19,18643
20,1.0,20,18816
40,0.1,1,116199
40,0.1,2,97362
40,0.1,3,73616
40,0.1,4,75572
40,0.1,5,82004
40,0.1,6,76215
40,0.1,7,76378
40,0.1,8,85388
40,0.1,9,88146
40,0.1,10,73129
40,0.1,11,87662
40,0.1,12,72689
40,0.1,13,75279
40,0.1,14,98592
40,0.1,15,84703
40,0.1,16,103470
40,0.1,17,100185
40,0.1,18,89758
40,0.1,19,84050
40,0.1,20,98867
40,0.2,1,140265
40,0.2,2,136348
40,0.2,3,129765
40,0.2,4,151536
40,0.2,5,119563
40,0.2,6,124135
40,0.2,7,115916
40,0.2,8,101360
40,0.2,9,108542
40,0.2,10,105788
40,0.2,11,105680
40,0.2,12,97194
40,0.2,13,115156
40,0.2,14,116468
40,0.2,15,141097
40,0.2,16,133836
40,0.2,17,115567
40,0.2,18,132310
40,0.2,19,124103
40,0.2,20,120726
40,0.4,1,138590
40,0.4,2,136133
40,0.4,3,149564
40,0.4,4,136402
40,0.4,5,139224
40,0.4,6,146320
40,0.4,7,134748
40,0.4,8,142894
40,0.4,9,106457
40,0.4,10,114068
40,0.4,11,113599
40,0.4,12,105922
40,0.4,13,102558
40,0.4,14,112232
40,0.4,15,141570
40,0.4,16,139077
40,0.4,17,134280
40,0.4,18,161386
40,0.4,19,147212
40,0.4,20,148545
40,0.6,1,142798
40,0.6,2,139882
40,0.6,3,124219
40,0.6,4,122782
40,0.6,5,132731
40,0.6,6,129361
40,0.6,7,131776
40,0.6,8,110092
40,0.6,9,109320
40,0.6,10,107268
40,0.6,11,105498
40,0.6,12,108102
40,0.6,13,134925
40,0.6,14,145496
40,0.6,15,141254
40,0.6,16,127857
40,0.6,17,127677
40,0.6,18,149457
40,0.6,19,146105
40,0.6,20,136335
40,0.8,1,141424
40,0.8,2,141446
40,0.8,3,142756
40,0.8,4,115362
40,0.8,5,123557
40,0.8,6,123432
40,0.8,7,114866
40,0.8,8,109600
40,0.8,9,105038
40,0.8,10,109555
40,0.8,11,106281
40,0.8,12,102740
40,0.8,13,110691
40,0.8,14,102361
40,0.8,15,102831
40,0.8,16,104389
40,0.8,17,105817
40,0.8,18,103280
40,0.8,19,100648
40,0.8,20,106634
40,1.0,1,99876
40,1.0,2,98441
40,1.0,3,109003
40,1.0,4,123129
40,1.0,5,124912
40,1.0,6,103770
40,1.0,7,108861
40,1.0,8,102579
40,1.0,9,103087
40,1.0,10,129906
40,1.0,11,132669
40,1.0,12,128755
40,1.0,13,122583
40,1.0,14,120746
40,1.0,15,120931
40,1.0,16,132240
40,1.0,17,130613
40,1.0,18,127766
40,1.0,19,125106
40,1.0,20,136526
60,0.1,1,322729
60,0.1,2,307897
60,0.1,3,311613
60,0.1,4,276514
60,0.1,5,257363
60,0.1,6,263393
60,0.1,7,268286
60,0.1,8,247099
60,0.1,9,262074
60,0.1,10,245982
60,0.1,11,268581
60,0.1,12,275307
60,0.1,13,323823
60,0.1,14,341900
60,0.1,15,306050
60,0.1,16,341929
60,0.1,17,331098
60,0.1,18,324604
60,0.1,19,285966
60,0.1,20,259194
60,0.2,1,317759
60,0.2,2,308225
60,0.2,3,313259
60,0.2,4,319550
60,0.2,5,307852
60,0.2,6,315847
60,0.2,7,306352
60,0.2,8,372541
60,0.2,9,379619
60,0.2,10,376387
60,0.2,11,404634
60,0.2,12,396551
60,0.2,13,399050
60,0.2,14,401994
60,0.2,15,373386
60,0.2,16,385255
60,0.2,17,380345
60,0.2,18,323907
60,0.2,19,332056
60,0.2,20,286704
60,0.4,1,370426
60,0.4,2,429285
60,0.4,3,412607
60,0.4,4,381157
60,0.4,5,407946
60,0.4,6,336077
60,0.4,7,348233
60,0.4,8,332919
60,0.4,9,396726
60,0.4,10,407591
60,0.4,11,430705
60,0.4,12,430521
60,0.4,13,431755
60,0.4,14,403112
60,0.4,15,415299
60,0.4,16,432801
60,0.4,17,443004
60,0.4,18,431135
60,0.4,19,416467
60,0.4,20,418186
60,0.6,1,409205
60,0.6,2,409207
60,0.6,3,424387
60,0.6,4,431210
60,0.6,5,442789
60,0.6,6,408347
60,0.6,7,433769
60,0.6,8,404577
60,0.6,9,423115
60,0.6,10,429125
60,0.6,11,409878
60,0.6,12,425278
60,0.6,13,445755
60,0.6,14,458100
60,0.6,15,451895
60,0.6,16,425663
60,0.6,17,422632
60,0.6,18,489815
60,0.6,19,465599
60,0.6,20,491785
60,0.8,1,410304
60,0.8,2,470710
60,0.8,3,482142
60,0.8,4,478131
60,0.8,5,514132
60,0.8,6,434275
60,0.8,7,396843
60,0.8,8,411165
60,0.8,9,398503
60,0.8,10,358627
60,0.8,11,377784
60,0.8,12,391137
60,0.8,13,329887
60,0.8,14,315760
60,0.8,15,399956
60,0.8,16,399179
60,0.8,17,387828
60,0.8,18,376079
60,0.8,19,336239
60,0.8,20,309596
60,1.0,1,315015
60,1.0,2,303955
60,1.0,3,299730
60,1.0,4,324706
60,1.0,5,325690
60,1.0,6,328936
60,1.0,7,305408
60,1.0,8,313412
60,1.0,9,411322
60,1.0,10,326132
60,1.0,11,323468
60,1.0,12,326260
60,1.0,13,316520
60,1.0,14,309133
60,1.0,15,350090
60,1.0,16,385210
60,1.0,17,381858
60,1.0,18,303807
60,1.0,19,325195
60,1.0,20,303085
80,0.1,1,639595
80,0.1,2,595849
80,0.1,3,594093
80,0.1,4,570496
80,0.1,5,564030
80,0.1,6,612593
80,0.1,7,745439
80,0.1,8,884070
80,0.1,9,583682
80,0.1,10,590461
80,0.1,11,627052
80,0.1,12,668647
80,0.1,13,697573
80,0.1,14,586873
80,0.1,15,585789
80,0.1,16,582376
80,0.1,17,575415
80,0.1,18,618809
80,0.1,19,627246
80,0.1,20,595968
80,0.2,1,708618
80,0.2,2,717208
80,0.2,3,883876
80,0.2,4,853547
80,0.2,5,887790
80,0.2,6,736492
80,0.2,7,783598
80,0.2,8,1053995
80,0.2,9,999942
80,0.2,10,851555
80,0.2,11,715973
80,0.2,12,657593
80,0.2,13,686676
80,0.2,14,772530
80,0.2,15,890843
80,0.2,16,696600
80,0.2,17,761016
80,0.2,18,783922
80,0.2,19,683004
80,0.2,20,684613
80,0.4,1,735491
80,0.4,2,723729
80,0.4,3,899669
80,0.4,4,736763
80,0.4,5,735114
80,0.4,6,855944
80,0.4,7,916626
80,0.4,8,732557
80,0.4,9,731007
80,0.4,10,740327
80,0.4,11,749901
80,0.4,12,711147
80,0.4,13,747720
80,0.4,14,868130
80,0.4,15,850181
80,0.4,16,899958
80,0.4,17,751886
80,0.4,18,744534
80,0.4,19,752750
80,0.4,20,725454
80,0.6,1,765369
80,0.6,2,753675
80,0.6,3,733582
80,0.6,4,739972
80,0.6,5,734048
80,0.6,6,741281
80,0.6,7,722645
80,0.6,8,742363
80,0.6,9,725353
80,0.6,10,751408
80,0.6,11,747999
80,0.6,12,836903
80,0.6,13,801148
80,0.6,14,727354
80,0.6,15,839744
80,0.6,16,780517
80,0.6,17,779031
80,0.6,18,862287
80,0.6,19,731998
80,0.6,20,741298
80,0.8,1,710822
80,0.8,2,702207
80,0.8,3,703566
80,0.8,4,700911
80,0.8,5,708238
80,0.8,6,766962
80,0.8,7,719119
80,0.8,8,728999
80,0.8,9,724327
80,0.8,10,733363
80,0.8,11,741352
80,0.8,12,852473
80,0.8,13,862747
80,0.8,14,765810
80,0.8,15,729686
80,0.8,16,732234
80,0.8,17,720526
80,0.8,18,751377
80,0.8,19,861724
80,0.8,20,827485
80,1.0,1,689704
80,1.0,2,709961
80,1.0,3,811117
80,1.0,4,808582
80,1.0,5,857327
80,1.0,6,695401
80,1.0,7,850483
80,1.0,8,691737
80,1.0,9,687624
80,1.0,10,812153
80,1.0,11,773957
80,1.0,12,813661
80,1.0,13,770059
80,1.0,14,688182
80,1.0,15,661552
80,1.0,16,703637
80,1.0,17,831230
80,1.0,18,708942
80,1.0,19,682719
80,1.0,20,679652
100,0.1,1,1095591
100,0.1,2,1093486
100,0.1,3,1093797
100,0.1,4,1109832
100,0.1,5,1076095
100,0.1,6,1092920
100,0.1,7,1294262
100,0.1,8,1202283
100,0.1,9,1193228
100,0.1,10,1381705
100,0.1,11,1309307
100,0.1,12,1117939
100,0.1,13,1283132
100,0.1,14,1265145
100,0.1,15,1202989
100,0.1,16,1378837
100,0.1,17,1088850
100,0.1,18,1287610
100,0.1,19,1312005
100,0.1,20,1085432
100,0.2,1,1218805
100,0.2,2,1257019
100,0.2,3,1269125
100,0.2,4,1253272
100,0.2,5,1438602
100,0.2,6,1319058
100,0.2,7,1275476
100,0.2,8,1247589
100,0.2,9,1270883
100,0.2,10,1451294
100,0.2,11,1503135
100,0.2,12,1250653
100,0.2,13,1268989
100,0.2,14,1244901
100,0.2,15,1279877
100,0.2,16,1305748
100,0.2,17,1270715
100,0.2,18,1288538
100,0.2,19,1282109
100,0.2,20,1301042
100,0.4,1,1556211
100,0.4,2,1370616
100,0.4,3,1356481
100,0.4,4,1306225
100,0.4,5,1466453
100,0.4,6,1432330
100,0.4,7,1354378
100,0.4,8,1325560
100,0.4,9,1305793
100,0.4,10,1334336
100,0.4,11,1273034
100,0.4,12,1670586
100,0.4,13,1457882
100,0.4,14,1314890
100,0.4,15,1367550
100,0.4,16,1314356
100,0.4,17,1578952
100,0.4,18,1453170
100,0.4,19,1312572
100,0.4,20,1319197
100,0.6,1,1333361
100,0.6,2,1626532
100,0.6,3,1372922
100,0.6,4,1361981
100,0.6,5,1605876
100,0.6,6,1350247
100,0.6,7,1518578
100,0.6,8,1531210
100,0.6,9,1328237
100,0.6,10,1473906
100,0.6,11,1352731
100,0.6,12,1469331
100,0.6,13,1477265
100,0.6,14,1867552
100,0.6,15,1964455
100,0.6,16,2108600
100,0.6,17,1817891
100,0.6,18,2232572
100,0.6,19,1581565
100,0.6,20,2071706
100,0.8,1,2543389
100,0.8,2,1949345
100,0.8,3,2014562
100,0.8,4,1789122
100,0.8,5,1573252
100,0.8,6,1406594
100,0.8,7,1617440
100,0.8,8,1509746
100,0.8,9,1563828
100,0.8,10,1446829
100,0.8,11,1742226
100,0.8,12,1380644
100,0.8,13,1322544
100,0.8,14,1982320
100,0.8,15,1857975
100,0.8,16,2177894
100,0.8,17,2061001
100,0.8,18,2070237
100,0.8,19,1929364
100,0.8,20,1797473
100,1.0,1,1867441
100,1.0,2,2003768
100,1.0,3,1873514
100,1.0,4,1793368
100,1.0,5,1448337
100,1.0,6,2125708
100,1.0,7,1853324
100,1.0,8,1634853
100,1.0,9,1876550
100,1.0,10,1817571
100,1.0,11,1579803
100,1.0,12,1802510
100,1.0,13,2002202
100,1.0,14,1711493
100,1.0,15,1659037
100,1.0,16,1597239
100,1.0,17,1520539
100,1.0,18,1711823
100,1.0,19,14235979
100,1.0,20,2111332
120,0.1,1,3666298
120,0.1,2,3770144
120,0.1,3,3324116
120,0.1,4,3268832
120,0.1,5,2847838
120,0.1,6,2507664
120,0.1,7,2017179
120,0.1,8,2001364
120,0.1,9,2212064
120,0.1,10,2070857
120,0.1,11,2064766
120,0.1,12,2192750
120,0.1,13,2147512
120,0.1,14,2552979
120,0.1,15,2100863
120,0.1,16,2038701
120,0.1,17,2213825
120,0.1,18,2380953
120,0.1,19,2120424
120,0.1,20,2313791
120,0.2,1,2246744
120,0.2,2,2425429
120,0.2,3,2127793
120,0.2,4,2133586
120,0.2,5,2121406
120,0.2,6,2098216
120,0.2,7,2370529
120,0.2,8,2506282
120,0.2,9,2348715
120,0.2,10,2261950
120,0.2,11,2222980
120,0.2,12,2142130
120,0.2,13,2099317
120,0.2,14,2147527
120,0.2,15,2124321
120,0.2,16,2066363
120,0.2,17,2117551
120,0.2,18,2065278
120,0.2,19,2079044
120,0.2,20,2073698
120,0.4,1,2212857
120,0.4,2,2226303
120,0.4,3,2181588
120,0.4,4,2166661
120,0.4,5,2181627
120,0.4,6,2157061
120,0.4,7,2170489
120,0.4,8,2186583
120,0.4,9,2179454
120,0.4,10,2207771
120,0.4,11,2150948
120,0.4,12,2153430
120,0.4,13,2207280
120,0.4,14,2210122
120,0.4,15,2217085
120,0.4,16,2210946
120,0.4,17,2200896
120,0.4,18,2216002
120,0.4,19,2166100
120,0.4,20,2148593
120,0.6,1,2166760
120,0.6,2,2161446
120,0.6,3,2165719
120,0.6,4,2158003
120,0.6,5,2138768
120,0.6,6,2152307
120,0.6,7,2174226
120,0.6,8,2138404
120,0.6,9,2123470
120,0.6,10,2178546
120,0.6,11,2187004
120,0.6,12,2162821
120,0.6,13,2444732
120,0.6,14,2200211
120,0.6,15,2123239
120,0.6,16,2150895
120,0.6,17,2181320
120,0.6,18,2172023
120,0.6,19,2149115
120,0.6,20,2138140
120,0.8,1,2133593
120,0.8,2,2156750
120,0.8,3,2131625
120,0.8,4,2139472
120,0.8,5,2122775
120,0.8,6,2120760
120,0.8,7,2103720
120,0.8,8,2106500
120,0.8,9,2106849
120,0.8,10,2121009
120,0.8,11,2133530
120,0.8,12,2144536
120,0.8,13,2126425
120,0.8,14,2086975
120,0.8,15,2093939
120,0.8,16,2105389
120,0.8,17,2126794
120,0.8,18,2122584
120,0.8,19,2112696
120,0.8,20,2090151
120,1.0,1,2073279
120,1.0,2,2092267
120,1.0,3,2266653
120,1.0,4,2105735
120,1.0,5,2345445
120,1.0,6,2060080
120,1.0,7,2061268
120,1.0,8,2073920
120,1.0,9,2063931
120,1.0,10,2058558
120,1.0,11,2076961
120,1.0,12,2048111
120,1.0,13,2059169
120,1.0,14,2055310
120,1.0,15,2067230
120,1.0,16,2050214
120,1.0,17,2077266
120,1.0,18,2055602
120,1.0,19,2068201
120,1.0,20,2064679
140,0.1,1,2998453
140,0.1,2,2954700
140,0.1,3,3036853
140,0.1,4,2994647
140,0.1,5,2890819
140,0.1,6,3054921
140,0.1,7,2975869
140,0.1,8,2979386
140,0.1,9,2894945
140,0.1,10,2882237
140,0.1,11,2958864
140,0.1,12,3001732
140,0.1,13,2983922
140,0.1,14,2988777
140,0.1,15,2967387
140,0.1,16,2924980
140,0.1,17,3010896
140,0.1,18,2947078
140,0.1,19,2994259
140,0.1,20,3052117
140,0.2,1,3267306
140,0.2,2,3210539
140,0.2,3,3166451
140,0.2,4,3194058
140,0.2,5,3209339
140,0.2,6,3223966
140,0.2,7,3270256
140,0.2,8,3193746
140,0.2,9,3170677
140,0.2,10,3233878
140,0.2,11,3262006
140,0.2,12,3231544
140,0.2,13,3250235
140,0.2,14,3294773
140,0.2,15,3208013
140,0.2,16,3178270
140,0.2,17,3161588
140,0.2,18,3621550
140,0.2,19,3352812
140,0.2,20,3216312
140,0.4,1,3415497
140,0.4,2,3326355
140,0.4,3,3402553
140,0.4,4,3306695
140,0.4,5,3337207
140,0.4,6,3270402
140,0.4,7,3259699
140,0.4,8,3700473
140,0.4,9,3422285
140,0.4,10,3533475
140,0.4,11,3410966
140,0.4,12,3350752
140,0.4,13,3464222
140,0.4,14,3356780
140,0.4,15,3459073
140,0.4,16,3380088
140,0.4,17,3407580
140,0.4,18,3312887
140,0.4,19,3329975
140,0.4,20,3345329
140,0.6,1,3405882
140,0.6,2,3318358
140,0.6,3,3296403
140,0.6,4,3281028
140,0.6,5,3280321
140,0.6,6,3306047
140,0.6,7,3307424
140,0.6,8,3395270
140,0.6,9,3322643
140,0.6,10,3362943
140,0.6,11,3307857
140,0.6,12,3581808
140,0.6,13,3291149
140,0.6,14,3514864
140,0.6,15,3423260
140,0.6,16,3319825
140,0.6,17,3418565
140,0.6,18,3385711
140,0.6,19,3298114
140,0.6,20,3350848
140,0.8,1,3210998
140,0.8,2,3212115
140,0.8,3,3283127
140,0.8,4,3237842
140,0.8,5,3365154
140,0.8,6,3221344
140,0.8,7,3328215
140,0.8,8,3205100
140,0.8,9,3749720
140,0.8,10,3258040
140,0.8,11,3345445
140,0.8,12,3193810
140,0.8,13,3292522
140,0.8,14,3255109
140,0.8,15,3453956
140,0.8,16,3170454
140,0.8,17,3216065
140,0.8,18,3243813
140,0.8,19,3201830
140,0.8,20,3284997
140,1.0,1,3126369
140,1.0,2,3276452
140,1.0,3,3157833
140,1.0,4,3230559
140,1.0,5,3222803
140,1.0,6,3155004
140,1.0,7,3147867
140,1.0,8,3321030
140,1.0,9,3121815
140,1.0,10,3160245
140,1.0,11,3231020
140,1.0,12,3162995
140,1.0,13,3698026
140,1.0,14,3388853
140,1.0,15,3238714
140,1.0,16,4480886
140,1.0,17,5538818
140,1.0,18,4854530
140,1.0,19,3621496
140,1.0,20,3603810
160,0.1,1,4789818
160,0.1,2,5497445
160,0.1,3,7536433
160,0.1,4,7607118
160,0.1,5,5388069
160,0.1,6,5806468
160,0.1,7,4706775
160,0.1,8,4595013
160,0.1,9,4310381
160,0.1,10,4375500
160,0.1,11,4319002
160,0.1,12,4346635
160,0.1,13,4524349
160,0.1,14,4418584
160,0.1,15,4370226
160,0.1,16,4541532
160,0.1,17,4476786
160,0.1,18,4345720
160,0.1,19,4310901
160,0.1,20,4429443
160,0.2,1,4798847
160,0.2,2,4687589
160,0.2,3,4697706
160,0.2,4,4833457
160,0.2,5,4579535
160,0.2,6,4918671
160,0.2,7,4680882
160,0.2,8,4704248
160,0.2,9,4725879
160,0.2,10,4838114
160,0.2,11,4893118
160,0.2,12,4774059
160,0.2,13,4823919
160,0.2,14,4825651
160,0.2,15,4799188
160,0.2,16,4844446
160,0.2,17,4809136
160,0.2,18,4829121
160,0.2,19,4942245
160,0.2,20,5081449
160,0.4,1,4921358
160,0.4,2,4752754
160,0.4,3,4785284
160,0.4,4,4884826
160,0.4,5,4847943
160,0.4,6,4953221
160,0.4,7,4777150
160,0.4,8,4750991
160,0.4,9,4735151
160,0.4,10,4831966
160,0.4,11,4893291
160,0.4,12,4843837
160,0.4,13,4810103
160,0.4,14,4702469
160,0.4,15,4892534
160,0.4,16,4900322
160,0.4,17,4820579
160,0.4,18,4867058
160,0.4,19,4727513
160,0.4,20,4731997
160,0.6,1,4804895
160,0.6,2,4710272
160,0.6,3,4743970
160,0.6,4,4810821
160,0.6,5,4790654
160,0.6,6,4773036
160,0.6,7,4764776
160,0.6,8,4768419
160,0.6,9,4736396
160,0.6,10,4678665
160,0.6,11,4761358
160,0.6,12,4740087
160,0.6,13,4728499
160,0.6,14,4725054
160,0.6,15,4715003
160,0.6,16,4734002
160,0.6,17,4688600
160,0.6,18,4741679
160,0.6,19,4733960
160,0.6,20,4702164
160,0.8,1,4623313
160,0.8,2,4673399
